N,POPULATION_SIZE,OFFSPRING_SIZE,Fitness,Time
20,50,33,24,0.4579894542694092
20,200,33,24,0.8356099128723145
20,300,33,23,1.357452630996704
20,500,33,24,2.9531025886535645
20,600,33,24,4.13346004486084
20,1000,33,23,10.621056318283081
20,2000,33,24,42.36016392707825
20,3000,33,24,96.54502272605896
20,5000,33,25,287.1219673156738
20,50,133,23,2.5177857875823975
20,200,133,23,2.8027846813201904
20,300,133,23,3.4154045581817627
20,500,133,23,5.425680875778198
20,600,133,23,6.6372973918914795
20,1000,133,23,14.002291202545166
20,2000,133,23,48.36100888252258
20,3000,133,23,105.10981178283691
20,5000,133,23,307.36173963546753
20,50,200,24,3.8529603481292725
20,200,200,23,4.339306831359863
20,300,200,23,5.0801472663879395
20,500,200,23,6.984185695648193
20,600,200,23,8.50461721420288
20,1000,200,23,16.32622265815735
20,2000,200,23,52.407352924346924
20,3000,200,23,110.76482605934143
20,5000,200,23,311.0278706550598
20,50,333,23,8.263718605041504
20,200,333,23,7.9920594692230225
20,300,333,23,8.633256196975708
20,500,333,23,11.221863031387329
20,600,333,23,12.892881631851196
20,1000,333,23,21.586846590042114
20,2000,333,23,59.89461708068848
20,3000,333,23,119.48189496994019
20,5000,333,23,320.5710871219635
20,50,400,23,10.323750019073486
20,200,400,23,9.537678003311157
20,300,400,23,10.49739384651184
20,500,400,23,13.135886907577515
20,600,400,23,14.87689757347107
20,1000,400,23,24.013864994049072
20,2000,400,23,60.622573137283325
20,3000,400,23,121.28376150131226
20,5000,400,23,321.62646293640137
20,50,666,23,21.259230852127075
20,200,666,23,19.372012853622437
20,300,666,23,20.602543592453003
20,500,666,23,24.15903067588806
20,600,666,23,25.99466371536255
20,1000,666,23,36.66548800468445
20,2000,666,23,78.65834426879883
20,3000,666,23,143.5763533115387
20,5000,666,23,356.23509907722473
20,50,1333,23,64.86293697357178
20,200,1333,23,59.4457471370697
20,300,1333,23,59.44380164146423
20,500,1333,23,63.317116022109985
20,600,1333,23,65.74636793136597
20,1000,1333,23,10887.774267911911
20,2000,1333,23,132.8958399295807
20,3000,1333,23,3053.303475856781
20,5000,1333,23,459.2233018875122
20,50,2000,23,129.92836737632751
20,200,2000,23,120.33654046058655
20,300,2000,23,120.18726015090942
20,500,2000,23,123.08987784385681
20,600,2000,23,126.19551753997803
20,1000,2000,23,142.69348692893982
20,2000,2000,23,209.65182447433472
20,3000,2000,23,1653.3411543369293
