N,POPULATION_SIZE,OFFSPRING_SIZE,Fitness,Time
100,50,33,215,1.918504238128662
100,200,33,537,3.364751100540161
100,300,33,628,7.497872591018677
100,500,33,488,6.499923467636108
100,600,33,708,18.738069534301758
100,1000,33,1235,18.611674308776855
100,2000,33,2342,61.44748544692993
100,3000,33,2926,151.7606999874115
100,5000,33,3642,430.0142843723297
100,50,133,181,21.201438426971436
100,200,133,193,10.961711406707764
100,300,133,192,12.588294982910156
100,500,133,186,20.084481477737427
100,600,133,202,23.71101999282837
100,1000,133,210,45.31881785392761
100,2000,133,239,139.23332118988037
100,3000,133,298,228.7034089565277
100,5000,133,966,494.08434081077576
100,50,200,194,64.9199538230896
100,200,200,164,17.683991193771362
100,300,200,182,18.85832977294922
100,500,200,189,26.038270711898804
100,600,200,183,29.530969381332397
100,1000,200,190,55.97995352745056
100,2000,200,197,143.39349246025085
100,3000,200,207,327.96708846092224
100,5000,200,338,687.164959192276
