N,POPULATION_SIZE,OFFSPRING_SIZE,Fitness,Time
500,50,33,74788,10.04617691040039
500,200,33,76945,18.43544626235962
500,300,33,80815,12.63986611366272
500,500,33,78235,19.91113829612732
500,600,33,74958,23.44337821006775
500,1000,33,86286,50.047975063323975
500,2000,33,91717,99.55598783493042
500,3000,33,100318,211.5569396018982
500,5000,33,105553,507.40769839286804
500,50,133,15182,213.61597847938538
500,200,133,43367,46.68043613433838
500,300,133,52324,48.71732044219971
500,500,133,59103,64.22215700149536
500,600,133,61407,80.73233413696289
500,1000,133,60153,117.364173412323
500,2000,133,56529,185.83635830879211
500,3000,133,65330,377.63270688056946
500,5000,133,76819,992.24622631073
